NO,DATE,TIME,FUNCTION,RANGE,SPEED,VALUE
1,2021-07-31,07:50:24:160674,DC VOLTAGE,5V,MEDIUM,3.651396
2,2021-07-31,07:50:26:164124,DC VOLTAGE,5V,MEDIUM,3.652175
3,2021-07-31,07:50:28:168703,DC VOLTAGE,5V,MEDIUM,3.652413
4,2021-07-31,07:50:30:170883,DC VOLTAGE,5V,MEDIUM,3.652955
5,2021-07-31,07:50:32:184739,DC VOLTAGE,5V,MEDIUM,3.773127
6,2021-07-31,07:50:34:188734,DC VOLTAGE,5V,MEDIUM,3.77701
7,2021-07-31,07:50:36:192635,DC VOLTAGE,5V,MEDIUM,3.783138
8,2021-07-31,07:50:38:208724,DC VOLTAGE,5V,MEDIUM,3.790526
9,2021-07-31,07:50:40:220185,DC VOLTAGE,5V,MEDIUM,3.7927
10,2021-07-31,07:50:42:226626,DC VOLTAGE,5V,MEDIUM,3.797106
11,2021-07-31,07:50:44:242685,DC VOLTAGE,5V,MEDIUM,3.802836
12,2021-07-31,07:50:46:253651,DC VOLTAGE,5V,MEDIUM,3.804423
13,2021-07-31,07:50:48:267653,DC VOLTAGE,5V,MEDIUM,3.808123
14,2021-07-31,07:50:50:271506,DC VOLTAGE,5V,MEDIUM,3.809823
15,2021-07-31,07:50:52:280638,DC VOLTAGE,5V,MEDIUM,3.81488
16,2021-07-31,07:50:54:289759,DC VOLTAGE,5V,MEDIUM,3.818024
17,2021-07-31,07:50:56:292597,DC VOLTAGE,5V,MEDIUM,3.81938
18,2021-07-31,07:50:58:303804,DC VOLTAGE,5V,MEDIUM,3.823921
19,2021-07-31,07:51:00:316624,DC VOLTAGE,5V,MEDIUM,3.826921
20,2021-07-31,07:51:02:332762,DC VOLTAGE,5V,MEDIUM,3.828285
21,2021-07-31,07:51:04:336805,DC VOLTAGE,5V,MEDIUM,3.833622
22,2021-07-31,07:51:06:347669,DC VOLTAGE,5V,MEDIUM,3.835543
23,2021-07-31,07:51:08:364737,DC VOLTAGE,5V,MEDIUM,3.838233
24,2021-07-31,07:51:10:374729,DC VOLTAGE,5V,MEDIUM,3.84202
25,2021-07-31,07:51:12:380668,DC VOLTAGE,5V,MEDIUM,3.843086
26,2021-07-31,07:51:14:393629,DC VOLTAGE,5V,MEDIUM,3.845415
27,2021-07-31,07:51:16:409757,DC VOLTAGE,5V,MEDIUM,3.849011
28,2021-07-31,07:51:18:426923,DC VOLTAGE,5V,MEDIUM,3.850148
29,2021-07-31,07:51:20:441538,DC VOLTAGE,5V,MEDIUM,3.852519
30,2021-07-31,07:51:22:443700,DC VOLTAGE,5V,MEDIUM,3.855655
31,2021-07-31,07:51:24:448886,DC VOLTAGE,5V,MEDIUM,3.856723
32,2021-07-31,07:51:26:457407,DC VOLTAGE,5V,MEDIUM,3.858959
33,2021-07-31,07:51:28:470662,DC VOLTAGE,5V,MEDIUM,3.86219
34,2021-07-31,07:51:30:484029,DC VOLTAGE,5V,MEDIUM,3.863076
35,2021-07-31,07:51:32:501525,DC VOLTAGE,5V,MEDIUM,3.865074
36,2021-07-31,07:51:34:510501,DC VOLTAGE,5V,MEDIUM,3.868147
37,2021-07-31,07:51:36:513079,DC VOLTAGE,5V,MEDIUM,3.869139
38,2021-07-31,07:51:38:525695,DC VOLTAGE,5V,MEDIUM,3.871181
39,2021-07-31,07:51:40:530086,DC VOLTAGE,5V,MEDIUM,3.873884
40,2021-07-31,07:51:42:547811,DC VOLTAGE,5V,MEDIUM,3.875757
41,2021-07-31,07:51:44:553729,DC VOLTAGE,5V,MEDIUM,3.876778
42,2021-07-31,07:51:46:562767,DC VOLTAGE,5V,MEDIUM,3.879617
43,2021-07-31,07:51:48:570101,DC VOLTAGE,5V,MEDIUM,3.881165
44,2021-07-31,07:51:50:581295,DC VOLTAGE,5V,MEDIUM,3.882165
45,2021-07-31,07:51:52:596253,DC VOLTAGE,5V,MEDIUM,3.883903
46,2021-07-31,07:51:54:598646,DC VOLTAGE,5V,MEDIUM,3.886598
47,2021-07-31,07:51:56:600237,DC VOLTAGE,5V,MEDIUM,3.887443
48,2021-07-31,07:51:58:606780,DC VOLTAGE,5V,MEDIUM,3.888998
49,2021-07-31,07:52:00:623723,DC VOLTAGE,5V,MEDIUM,3.891603
50,2021-07-31,07:52:02:637039,DC VOLTAGE,5V,MEDIUM,3.892537
51,2021-07-31,07:52:04:639297,DC VOLTAGE,5V,MEDIUM,3.89413
52,2021-07-31,07:52:06:644833,DC VOLTAGE,5V,MEDIUM,3.896438
53,2021-07-31,07:52:08:657189,DC VOLTAGE,5V,MEDIUM,3.897344
54,2021-07-31,07:52:10:659480,DC VOLTAGE,5V,MEDIUM,3.898915
55,2021-07-31,07:52:12:672704,DC VOLTAGE,5V,MEDIUM,3.901326
56,2021-07-31,07:52:14:686713,DC VOLTAGE,5V,MEDIUM,3.90275
57,2021-07-31,07:52:16:701381,DC VOLTAGE,5V,MEDIUM,3.903515
58,2021-07-31,07:52:18:708171,DC VOLTAGE,5V,MEDIUM,3.905859
59,2021-07-31,07:52:20:722760,DC VOLTAGE,5V,MEDIUM,3.907455
60,2021-07-31,07:52:22:736169,DC VOLTAGE,5V,MEDIUM,3.908158
61,2021-07-31,07:52:24:753784,DC VOLTAGE,5V,MEDIUM,3.910282
62,2021-07-31,07:52:26:763735,DC VOLTAGE,5V,MEDIUM,3.911801
63,2021-07-31,07:52:28:770702,DC VOLTAGE,5V,MEDIUM,3.912519
64,2021-07-31,07:52:30:781608,DC VOLTAGE,5V,MEDIUM,3.914741
65,2021-07-31,07:52:32:790617,DC VOLTAGE,5V,MEDIUM,3.916014
66,2021-07-31,07:52:34:808276,DC VOLTAGE,5V,MEDIUM,3.916734
67,2021-07-31,07:52:36:815665,DC VOLTAGE,5V,MEDIUM,3.918863
68,2021-07-31,07:52:38:818685,DC VOLTAGE,5V,MEDIUM,3.920303
69,2021-07-31,07:52:40:830648,DC VOLTAGE,5V,MEDIUM,3.920975
70,2021-07-31,07:52:42:841580,DC VOLTAGE,5V,MEDIUM,3.922906
71,2021-07-31,07:52:44:845745,DC VOLTAGE,5V,MEDIUM,3.924302
72,2021-07-31,07:52:46:862748,DC VOLTAGE,5V,MEDIUM,3.924963
73,2021-07-31,07:52:48:868740,DC VOLTAGE,5V,MEDIUM,3.926357
74,2021-07-31,07:52:50:872712,DC VOLTAGE,5V,MEDIUM,3.92818
75,2021-07-31,07:52:52:881621,DC VOLTAGE,5V,MEDIUM,3.928862
76,2021-07-31,07:52:54:893591,DC VOLTAGE,5V,MEDIUM,3.93021
77,2021-07-31,07:52:56:896105,DC VOLTAGE,5V,MEDIUM,3.932173
78,2021-07-31,07:52:58:902711,DC VOLTAGE,5V,MEDIUM,3.933416
79,2021-07-31,07:53:00:917737,DC VOLTAGE,5V,MEDIUM,3.933939
80,2021-07-31,07:53:02:927762,DC VOLTAGE,5V,MEDIUM,3.935873
81,2021-07-31,07:53:04:934657,DC VOLTAGE,5V,MEDIUM,3.937171
82,2021-07-31,07:53:06:947686,DC VOLTAGE,5V,MEDIUM,3.937752
83,2021-07-31,07:53:08:950652,DC VOLTAGE,5V,MEDIUM,3.939468
84,2021-07-31,07:53:10:959764,DC VOLTAGE,5V,MEDIUM,3.940737
85,2021-07-31,07:53:12:961038,DC VOLTAGE,5V,MEDIUM,3.94133
86,2021-07-31,07:53:14:969561,DC VOLTAGE,5V,MEDIUM,3.943157
87,2021-07-31,07:53:16:980980,DC VOLTAGE,5V,MEDIUM,3.944295
88,2021-07-31,07:53:18:997355,DC VOLTAGE,5V,MEDIUM,3.944805
89,2021-07-31,07:53:21:008562,DC VOLTAGE,5V,MEDIUM,3.94658
90,2021-07-31,07:53:23:022608,DC VOLTAGE,5V,MEDIUM,3.947796
91,2021-07-31,07:53:25:039752,DC VOLTAGE,5V,MEDIUM,3.948358
92,2021-07-31,07:53:27:046639,DC VOLTAGE,5V,MEDIUM,3.94997
93,2021-07-31,07:53:29:052826,DC VOLTAGE,5V,MEDIUM,3.951095
94,2021-07-31,07:53:31:061014,DC VOLTAGE,5V,MEDIUM,3.952239
95,2021-07-31,07:53:33:063547,DC VOLTAGE,5V,MEDIUM,3.953923
96,2021-07-31,07:53:35:070514,DC VOLTAGE,5V,MEDIUM,3.954467
97,2021-07-31,07:53:37:079728,DC VOLTAGE,5V,MEDIUM,3.955461
98,2021-07-31,07:53:39:095887,DC VOLTAGE,5V,MEDIUM,3.95604
99,2021-07-31,07:53:41:109969,DC VOLTAGE,5V,MEDIUM,3.957704
100,2021-07-31,07:53:43:122580,DC VOLTAGE,5V,MEDIUM,3.958762
101,2021-07-31,07:53:45:137716,DC VOLTAGE,5V,MEDIUM,3.959263
102,2021-07-31,07:53:47:140626,DC VOLTAGE,5V,MEDIUM,3.960828
103,2021-07-31,07:53:49:151522,DC VOLTAGE,5V,MEDIUM,3.96184
104,2021-07-31,07:53:51:168638,DC VOLTAGE,5V,MEDIUM,3.962428
105,2021-07-31,07:53:53:178758,DC VOLTAGE,5V,MEDIUM,3.96392
106,2021-07-31,07:53:55:193630,DC VOLTAGE,5V,MEDIUM,3.964862
107,2021-07-31,07:53:57:202648,DC VOLTAGE,5V,MEDIUM,3.965423
108,2021-07-31,07:53:59:208706,DC VOLTAGE,5V,MEDIUM,3.966969
109,2021-07-31,07:54:01:225634,DC VOLTAGE,5V,MEDIUM,3.967959
110,2021-07-31,07:54:03:236721,DC VOLTAGE,5V,MEDIUM,3.968431
111,2021-07-31,07:54:05:251511,DC VOLTAGE,5V,MEDIUM,3.970378
112,2021-07-31,07:54:07:260681,DC VOLTAGE,5V,MEDIUM,3.970849
113,2021-07-31,07:54:09:276408,DC VOLTAGE,5V,MEDIUM,3.971874
114,2021-07-31,07:54:11:291407,DC VOLTAGE,5V,MEDIUM,3.97323
115,2021-07-31,07:54:13:302627,DC VOLTAGE,5V,MEDIUM,3.973695
116,2021-07-31,07:54:15:307798,DC VOLTAGE,5V,MEDIUM,3.974688
117,2021-07-31,07:54:17:317165,DC VOLTAGE,5V,MEDIUM,3.976122
118,2021-07-31,07:54:19:326903,DC VOLTAGE,5V,MEDIUM,3.9766
119,2021-07-31,07:54:21:328967,DC VOLTAGE,5V,MEDIUM,3.977445
120,2021-07-31,07:54:23:343885,DC VOLTAGE,5V,MEDIUM,3.978875
121,2021-07-31,07:54:25:354718,DC VOLTAGE,5V,MEDIUM,3.979303
122,2021-07-31,07:54:27:360456,DC VOLTAGE,5V,MEDIUM,3.980306
123,2021-07-31,07:54:29:374770,DC VOLTAGE,5V,MEDIUM,3.981552
124,2021-07-31,07:54:31:387727,DC VOLTAGE,5V,MEDIUM,3.981992
125,2021-07-31,07:54:33:397270,DC VOLTAGE,5V,MEDIUM,3.982907
126,2021-07-31,07:54:35:408598,DC VOLTAGE,5V,MEDIUM,3.984268
127,2021-07-31,07:54:37:420557,DC VOLTAGE,5V,MEDIUM,3.984714
128,2021-07-31,07:54:39:425748,DC VOLTAGE,5V,MEDIUM,3.985529
129,2021-07-31,07:54:41:432753,DC VOLTAGE,5V,MEDIUM,3.985957
130,2021-07-31,07:54:43:446769,DC VOLTAGE,5V,MEDIUM,3.987276
131,2021-07-31,07:54:45:454690,DC VOLTAGE,5V,MEDIUM,3.988196
132,2021-07-31,07:54:47:463741,DC VOLTAGE,5V,MEDIUM,3.988598
133,2021-07-31,07:54:49:475745,DC VOLTAGE,5V,MEDIUM,3.990288
134,2021-07-31,07:54:51:490705,DC VOLTAGE,5V,MEDIUM,3.990682
135,2021-07-31,07:54:53:498821,DC VOLTAGE,5V,MEDIUM,3.991581
136,2021-07-31,07:54:55:511600,DC VOLTAGE,5V,MEDIUM,3.992806
137,2021-07-31,07:54:57:514671,DC VOLTAGE,5V,MEDIUM,3.993155
